run,model,mean_rmse,fold1,fold2,fold3,fold4,fold5
20260518_1758_lightgbm_13.2779,lightgbm,13.2779,11.9906,14.0457,13.7965,12.2119,14.3446
20260518_2051_catboost_13.5192,catboost,13.5192,12.2516,14.4308,13.7239,12.6965,14.493
20260518_2150_xgboost_13.2263,xgboost,13.2263,12.0115,13.2615,14.1805,12.271,14.4071
20260519_0324_xgboost_10.5160,xgboost,10.516,10.5649,10.6269,10.8897,8.6624,11.8359
20260519_1819_xgboost_10.0373,xgboost,10.0373,10.42,9.7833,10.3271,8.2894,11.3667
20260520_0301_xgboost_10.0636,xgboost,10.0636,10.094,10.0225,10.4053,8.3496,11.4467
20260520_1416_catboost_13.4843,catboost,13.4843,12.6107,13.5011,13.4108,13.4152,14.4839
20260520_1834_lightgbm_9.8306,lightgbm,9.8306,10.1028,10.228,9.8661,8.2541,10.7021
20260521_0333_lightgbm_8.5577,lightgbm,8.5577,8.3455,9.2901,8.3417,7.6817,9.1296
20260521_1150_xgboost_7.7397,xgboost,7.7397,7.3739,7.8158,7.8948,7.4352,8.1786
20260521_1442_catboost_9.3862,catboost,9.3862,8.8472,10.0816,9.6286,8.492,9.8817
